text,label
"Hi,
         I have a friend who is working on 2-d and 3-d object recognition. He is looking
for references describing algorithms on the following subject areas:

Thresholding
Edge Segmentation
Marr-Hildreth
Sobel Operator
Chain Codes
Thinning - Skeletonising

If anybody is willing to post an algorithm that they have implemented which demonstrates
any of the above topics, it would be much appreciated.

Please post all replies to my e-mail address. If requested I will post a summary to the
newsgroup in a couple of weeks.


Thanks in advance for all replies",comp.graphics
"
Elevated levels of Glu and Asp in the blood are able to bypass the
Blood-brain barrier through the circumventricular organs (or CVO), in
particular the adeno and neurohypophysis (pituitary gland) areas.  The
arcuate nucleus of the hypothalamus, and the median eminence regions
are particularly effected.  CVO areas are not subject to the
blood-brain barrier. These areas control the release of gonadotropin,
which controls the release and flux of steroids governing development,
especially sexual development. Changes in adult rats, which are less
sensitive to Glu than humans, have been observed: after ingesting Glu,
on a chronic basis, cycles of several steroids are disrupted. Blood
levels of somatostatin are significantly reduced, and cyclic release
of steroids becomes flattened.",sci.med
"HELP   MY FRIEND AND I HAVE A CLASS PROJECT IN WHICH WE ARE TRYING TO MAKE
    A COMPUTER ANIMATED MOVIE OF SORTS WITH THE DISNEY ANIMATION AND WOULD
    LIKE TO PUT WHAT WE HAVE ON A VCR IS THIS POSSIBLE?  IS IT EASY AND
    RELATIVELY CHEAP? IF SO HOW? WE BOTH HAVE 386 IBM COMPATIBLES BUT ARE
    RELATIVELY CLUELESS WITH COMPUTERS IF YOU COULD HELP PLEASE DO.

                                THANX.
-- 
BRANT RITTER
-----------------------------------------------------
moshing--   ""a cosmic cesspool of physical delight.""
                                  -A. Kiedas
                                     RHCP",comp.graphics
"Hi, baseball fans! So what do you say? Don't you think he deserves it?
I
 
mean, heck, if Dave Winfield (ho-hum) is seriously being considered for it,
as

is Lee Smith (ha), then why don't we give Dave Kingman a chance? Or Darrell

Evans! Yeah, yeah! After the Hall of Fame takes in them, it can take in
Eddie

Murray and Jeff Reardon.

     Well, in any case, I am sick and tired (mostly sick) of everybody
giving

Hall of Fame consideration to players that are by today's standards,
marginal.

Honestly, Ozzie Smith and Robin Yount don't belong there. They're both

shortstops that just hung around for a long time. Big deal.

     Let's be a little more selective, huh? Stop handing out these honors
so

liberally. Save them for the guys who really deserve it. Face it, if
something

isn't done, there will be little prestige in the Hall of Fame anymore. When

certain individuals believe that Steve Garvey or Jack Morris are potential

candidates, the absurdity is apparent. Gee, can these guys even compare to

the more likely future Hall of Famers like Kirby Puckett or Nolan Ryan?
",rec.sport.baseball
"


I happen to be a big fan of Jayson Stark.  He is a baseball writer for the 
Philadelphia Inquirer.  Every tuesday he writes a ""Week in Review"" column.  
He writes about unusual situations that occured during the week.  Unusual
stats.  He has a section called ""Kinerisms of the Week"" which are stupid
lines by Mets brodcaster Ralph Kiner.  Every year he has the LGTGAH contest.
That stands for ""Last guy to get a hit.""  He also writes for Baseball 
America.  That column is sort of a highlights of ""Week in Review.""  If you 
can, check his column out sometime.  He might make you laugh.

Rob Koffler
",rec.sport.baseball
"Does anybody have an algorithm for ""flattening"" out a globe, or any other
parametric surface, that is definied parametrically. 
That is, I would like to take a sheet of paper and a knife and to be
able to calculate how I must cut in the paper so I can fold it to a
globe (or any other object).
",comp.graphics
"


      No.  The REAL question:  Should the Feds bail-out IBM ( a la Chrysler )
  so that important $80K manufacturing jobs wouldn't be lost?",talk.politics.misc
"
i'm telling you, sam, three l's.  call up mom and ask.",rec.sport.baseball
"My wife and I are in the process of selecting a pediatrician for our
first child (due June 15th).  We interviewed a young doctor last week
and were very impressed with her.  However, I discovered that she is
actually not an Medical Doctor (M.D.) but rather a ""Doctor of 
Osteopathy"" (D.O.).  What's the difference?  I believe the pediatrician
*I* went to for many years was a D.O. and he didn't seem different from
any other doctor I've seen over the years.

My dictionary says that osteopathy is ""a medical therapy that emphasizes
manipulative techniques for correcting somatic abnormalities thought
to cause disease and inhibit recovery.""

Jeez, this sounds like chiropractic.  I remember getting shots and
medicine from *my* pediatrician D.O., and don't remember any 
""manipulative techniques"".  Perhaps someone could enlighten me as to
the real, practical difference between an M.D. and a D.O.  Also, I'm
interesting in hearing any opinions on choosing a pediatrician who
follows one or the other medical philosophy.

Readers of sci.med:  Please respond directly to sbrenner@attmail.com;
I do not read this group regularly and probably won't see your response
if you just post it here.  Sorry for the cross-posting, but I'm hoping
there's some expertise here.

a T d H v A a N n K c S e",sci.med
"The Phillies were picked to be in first.
Someone replied that the people who picked them were the same people who
picked the Mets last year.

My reply:  Yeah, that may be true, but this IS the Phillies.",rec.sport.baseball
"
I went back and looked at the review again.  They claim there were
significant differences in manipulating a 27 meg test file, but with
smaller files, the two platforms were the about the same.  David
",comp.graphics
"[reply to geb@cs.pitt.edu (Gordon Banks)]
 
 
 
I made a decision a while back that I will not be bullied into getting
studies like a CT or MRI when I don't think they are indicated.  If the
patient won't accept my explanation of why I think the study would be a
waste of time and money, I suggest a second opinion.",sci.med
"
Hallo POV-Renderers !
I've got a BocaX3 Card. Now I try to get POV displaying True Colors
while rendering. I've tried most of the options and UNIVESA-Driver
but what happens isn't correct.
Can anybody help me ?
",comp.graphics
": Concerning the proposed newsgroup split, I personally am not in favor of
: doing this.  I learn an awful lot about all aspects of graphics by reading
: this group, from code to hardware to algorithms.  I just think making 5
: different groups out of this is a wate, and will only result in a few posts
: a week per group.  I kind of like the convenience of having one big forum
: for discussing all aspects of graphics.  Anyone else feel this way?
: Just curious.
: 
: 
: Daemon
: 

Yes. I also like knowing where to go to ask a question without getting
hell for putting it in the wrong newsgroup.",comp.graphics
"
I was *hoping* somebody would mention clutch.  Clutch?  Baerga?  The
two words simply do not go together.  With runners in scoring
position, Baerga batted .308/.366/.418 last year.  This doesn't quite
*suck*, but most batters hit *better* in this situation.

Alomar?  He hit .354/.439/.517 with runners in scoring position!

The difference?  Alomar had 68 RBIs in 147 such AB.  Baerga had 81
RBIs in 182 such AB.  Baerga got 25% more chances, yet succeeded only
20% more times.

Frankly, I don't believe in clutch.  But if I did, my vote would
go to Alomar for MVP (let alone ""best 2B in the AL"").",rec.sport.baseball
"

Interesting.  Does she know you have placed this info request on the
net for the world to see?  If not, how do you think she would react
if she found out?  Why would you accept the advice of unknown entities
rather than a counselor?


See the counselor.",sci.med
"
There is a vast literature on Delaunay triangulations, literally
hundreds of papers.  A program is even provided with every copy of 
Mathematica nowadays.  You might look at this if you are interested in 
using it for creating 3D objects:",comp.graphics
"

No, there's no evidence that would convince any but the most credulous.

The ""evidence"" is identical to the sort of evidence that has been
used to justify all sorts of quack treatments for quack diseases
in the past.


I like the implication here.  It must not be that the quacks making
millions off such ""diseases"" are biased -- rather that those who
doubt their existence don't understand the real world.  It seems
easy to picture a 19th centure snake oil salesman saying the same
thing.

However, I have been in the trenches long enough to have seen multiple
quack diseases rise and fall in popularity.  ""Systemic yeast syndome""
seems to be making a resurgence (it had fallen off a few years ago).
There will be new such ""diseases"" I'm sure with best-selling books
and expensive therapies.


Well this, of course, is convincing.  I guess I'd better start diagnosing
any illnesses that people want so that I can keep my lips.",sci.med
"
: >Compiled from the last five Defensive Average reports, here are the career
: >DAs for the individual players in the reports.  Stats are courtesy of
: >Sherri Nichols.  Players are listed in descending order.

: And some comments, with some players deleted.

: >Third Basemen
: >-------------
: >Leius, Scott         ----  ----  ----  .653  .680   0.672
: Looks good.  Too bad he's moving to short.

: >Pagliarulo, Mike     .631  ----  .575  .744  ----   0.649
: This is an interesting line.  His 1988 figure was slightly below average.
: His 1990 was pathetic, and his 1991 was the next best year by anybody.  Part of
: that may be his mobility.  1988 was with the Yankees.  1990 was with the
: Padres, who appear to have a rotten infield.  1991 was with the Twins, and
: judging by Leius and Gaetti, the Metrodome may be a good place to play
: third.

Gaetti, Gary         .616  .638  .655  .632  ----   0.637

Apologies if I don't know what I'm talking about :-), but as a Twins fan,
I like to think they have good players in any park.  Not sure if I remember
completely or not, but I think Gaetti played with the Twins in '87 for the 
world series, and again in '88 (note that's his lowest of the 4).  I believe 
the next 3 (or at least the last two) were played with the Angels.   Lots
of factors make a player excell...  I hate it when so many use the dome.
It may not be ideal, but nice to comfortably enjoy baseball and football 
even when it's snowing and raining.

-Craig",rec.sport.baseball
"
Off the top of my head, I might try:

Given: p_1, p_2, p_3, p_4

Find:  p_c (center of sphere determined by p_1, ..., p_4), 
       dist(p_c, p_i) (radius)

p_c is the same distance from our four points, so
dist(p_c,p_1) = dist(p_c,p_2) = dist(p_c,p_3) = dist(p_c,p_4) 

Of course, we can square the whole thing to get rid of square roots:
distsq(p_c,p_1) = distsq(p_c,p_2) = distsq(p_c,p_3) = distsq(p_c,p_4) 

Plug in the variables into the distance formula, simplify, and the 
x^2_c, y^2_c, and z^2_c terms cancel out, leaving you with three 
linearly independent equations and three unknowns (x_c, y_c, z_c).  
Solve using your favorite method.  :)


All the best,

- John :)

-------------------------------------------------------------------------------
Dr. John S. Eickemeyer                 ::     ""The Lord God is subtle,
Information Technology Institute      ::::     but malicious He is not.""
National Computer Board, Singapore     ::
Email: johne@iti.gov.sg                ::                     - Albert Einstein",comp.graphics
"
That's might be what it takes to beat the Braves this year.  ",rec.sport.baseball
"It is my understanding that the Dead will sing the NA at the Giants
home opener on Mon. 4/12. The Giants are opening today in St. Louis.

luigi",rec.sport.baseball
"
Herman, I would think you of all people would/could distinguish
between ""health"" and ""treatment of disease."" All the prevention
medicine people preach this all the time. You cannot buy health.
You can buy treatment of disease, assuming you are lucky enough
to have a disease which can be treated. A rich person with a
terminal disease is a bit out of luck. There is no such thing
as ""adequately covered"" and there never will be. 

And for what it's worth, I'll be the first to admit that all my
patients die.",sci.med
"

It's really not that hard to do.  There are books out there which explain
everything, and the basic 3D functions, translation, rotation, shading, and
hidden line removal are pretty easy.  I wrote a program in a few weeks witht
he help of a book, and would be happy to give you my source.
	Also, Quickdraw has a lot of 3D functions built in, and Think pascal
can access them, and I would expect that THINK C could as well.  If you can
find out how to use the Quickdraw graphics library, it would be an excellent
choice, since it has a lot of stuff, and is built into the Mac, so should be
fast.

Libertarian, atheist, semi-anarchal Techno-Rat.",comp.graphics
"


Here is another anecdotal story.  I am a picky eater and never wanted to 
try chinese food, however, I finally tried some in order to please a
girl I was seeing at the time.  I had never heard of Chinese restaurant
syndrome.  A group of us went to the restaurant and all shared 6 different
dishes.  It didn't taste great, but I decided it wasn't so bad.  We went
home and went to bed early.  I woke up at 2 AM and puked my guts outs.
I threw up for so long that (I'm not kidding) I pulled a muscle in
my tongue.  Dry heaves and everything.  No one else got sick, and I'm
not allergic to anything that I know of.  

Suffice to say that I wont go into a chinese restaurant unless I am 
physically threatened.  The smell of the food makes me ill (and that *is*
a psycholgical reaction).  When I have been dragged in to suffer
through beef and broccoli without any sauces, I insist on no MSG.  
I haven't gotten sick yet.
",sci.med
"Add Mike Trombley in there somewhere, since they need five people.  Mark
Guthrie will remain in the bullpen as the long lefty.

Pags and Terry Jorgenson will platoon at third, with Reboulet as the
backup infielder.  Pags looked pretty miserable yesterday for a guy who
lead the league in DA in 1991, muffing what should be routine grounders
(heck, muffing a grounder *I* would probably have gotten to).  Jorgenson
did nothing exceptional that I noticed.  Leius missed a ball I *think*
Gagne would have reached; we will certainly miss Gag's glove this season.

He looked pretty good there.  Contrary to what the mediots have been saying,
he looked reasonable at first.  He isn't mid-80s Hrbek, but then neither is
the Pretty Big Guy himself any more (note:  I'm used to seeing the Twins
1B looking kinda big on the field, but not that big!).  If he hits vaguely
like last year, he's a perfectly good first baseman.

Note:  Much of this posting is from personal observation yesterday in a game
where the regulars were mostly pulled after several innings.  Winfield may
have big holes in his defensive game that didn't show up (he didn't have to
pick any bad throws, for example), but I'll take what I saw so far.",rec.sport.baseball
" 



Ted, you're missing a vital point.  As Roger Lustig pointed out in a
previous response, the reason why Schott was banned from baseball was
because she had been known to call and think in a racially biased manner on
a constant basis.  Such thoughts affected her hiring practices.  Bonilla,
on the other hand, was found to have mentioned this one word a single time.
 If he had been known to go around, criticizing homosexuals, it would be a
different story.  Furthermore, he is merely an athlete.  He doesn't have to
hire anyone as Schott had to do.  Dave Pallone, the former NL umpire who is
an admitted homosexual, has decided to assist in a protest before a Mets
game at Shea.  He, like you, thinks that Bonilla should be suspended from
baseball.  Pallone is hoping for a year's suspension.  In my opinion,
that's downright ludicrous.  As Howie Rose on WFAN said, if you start
suspending athletes who have mentioned a derogatory word even a single time
under whatever conditions, then you'd probably have enough people remaining
to play a three-on-three game.  Now, honestly, if you truly analyze the
differences between the two cases that you bring up in your article, I
would think that you'd reconsider your thoughts.


                                    -Sean

",rec.sport.baseball
"Thanks to aldridge@netcom.com, I now know a bit more about Stargardt's
disease, aka juvenile macular distrophy, but I would like to learn more.

First, what is the general prognosis - is blindness the result?
Second, what treatments, if any, are available?

",sci.med
"
You can probably get this information by calling your public health
department in your county (in Pittsburgh, they give the shots free,
as well).  There are bulletins in medical libraries that give
recommendations, or you could call the infectious diseases section
of the medicine department of your local medical school.  You also
will probably want to talk about Malaria prophylaxis.  You will
need your doctor to get the prescription.  
-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",sci.med
"
Evidence given for her prostitute status, besides the admittedly 
questionable claim of the man on trial included:

1. Prior employment in a number of massage parlors, with women who
claimed that she worked as a prostitute;

2. Walking around a truck stop at 4:00 AM wearing a lace miniskirt,
a halter top, and no underwear of any sort;

3. Not having a purse or other I.D. with her.

Not enough to convict her, but enough to create reasonable doubt
whether a rape actually took place, or theft of services.

Are you just ignorant, or lying again?


The accounts on the evening news indicated that they claimed self-
defense, and the judge agreed that they were so operating.
",talk.politics.misc
"
       If you happen to know a political position which does not
have people advocating it who do more harm than good, please point it
out.
       

       One of the advantages and draw-backs of requiring proof
on the part of the government before they may take action against
citizens.  (and part of the reason some of us believe weapons should
be available.)


       We are not arguing the absolute sanctity of the U.S.
Constitution.  In fact, the fillibuster we're talking about isn't
*in* the Constitution.  I objected to your suggestion that the Senate
wasn't intended to exercise the power it was clearly given.


       I'll point out again that Reagan only had a Republican Majority
in the Senate during his first term, and his coalition in the House
came apart at about the same time.  Bush never had any real support in
Congress.

       The real point is that everybody, *everywhere* got their pork,
from the big corporations to the guy I saw last night leaving a
convenience store with an armful of junk-food he'd bought with
food stamps.  (He spent more in food stamps on junk than I *make* in a week
and I'm not on government assitance.)


       Lessee, let's pull out the old Almanac.

       In 1980, total U.S. government budget outlays were 590.9 billion
dollars.  In 1992 (est) they were 1.4754 trillion dollars, an increase of
approx. 884 billion dollars.

       In 1980, National Defense cost 133.9 billion dollars.  In
192 it was 307 billion dollars, and increase of 174 billion dollars.
That leaves an increase of 710 billion dollars unaccounted
for.  (This represented an increase of 230%)

       In 1980, Income Security (which includes retirement programs,
Housing Assitance, and unemployment benefits, and I believe welfare)
cost 86.5 billion dollars.  In 1992 it was 198 billion dollars, or
more than national defense started.  (This represented an increase
of 230%)

       In 1980, the Federal Government spent 32 billion dollars on
Medicare.  In 1992 they spent 118 billion dollars.  (an increase of
368%)

       In 1980, the Feds spent 9 billion dollars on housing
credits and subsidies of that like.  In 1992 it was 87 billion.

       In 1980, Health care services and research was 23 billion
dollars.  In 1992, it was 94 billion dollars.

       Agriculture, up 9 billion to 17 billion.

       Science, up 11 billion to 16 billion.

       Resource conservation up 7 billion to 20 billion.

       Education up 14 billion to 45 billion.

       Veteran benefits up 12 billion to 33 billion.

       Trasnportation up 13 billion to 34 billion.
     
       About the only things I see which was seriously decreased was under 
the Energy category, primarily under ""Supply,"" and ""Community Development,""
in the area of ""disaster relief,"" and between the two of them
represent a loss of less than 11 billion dollars.

       Where *was* this huge diversion?


       Not that's a stretch.  If the current government was pushed by
the President to create this mess, wouldn't one expect it to begin to
equalize once the pressure is gone?


       Only assuming that the new role is a positive role we want
to continue. I see very little positive about it.


       The Constitution was *designed* to frustrate the democratic
process, so that the voters could be absolutely sure they were getting
what they wanted by the time it happened.  Nor do I see putting the
brakes on the ""democratic process"" an inherently bad thing.  Califronia's
riding the edge and every time they pull their ballot initiative nonsense
it gets worse.


       Sometimes, or perhaps most of the time, the people should be
told, ""no,"" and pointed to their local government.       


       Phill, would you do me the very great favor of repeating that
in talk.politics.guns?


       Cute.  We can eliminate violations of the law by eliminating
the law.


       Free speech alone is dangerous, Phill.


       OK, Phill.  All you gotta show me is a clear pattern of
*reduction* in homicide rates across several countries and that'll
be it.  (Not current, mind, you, reduction.)



        Who's chaining anything to freedom of speech?  By *calling*
it a freedom?  


       Phill, you're a master of subtly changing the subject.  I haven't
*based* my argument against raw democracy on the Constitution.  I've
tried to explain why it isn't a good idea.  The only time I've referred
to the Constitution is to point out it doesn't contain the restrictions
on the veto and the Senate you appear to believe were ""meant,"" but
just didn't make it in there.
     
       The Constitution doesn't *contain* the 41% fillibuster rule.
I only believe that the rule is a good idea.  You cn't dismiss that
as venerating the Constitution because it isn't *in* the Constitution.",talk.politics.misc
"
Go for it.  I have yet to see anybody justify the
prohibition on drugs and the ensuing War On Drugs.  In the world of
*.politics here on Usenet, it is YOU that is crazy.  ANYBODY--who gives
the matter any thought beyond reading headlines---cannot justify this
atrocity, this all out war on individual rights.

Just _TRY_ to justify the War On Drugs, I _DARE_ you!


Once again, in chorus: WHY is this ""stupid""?


The above paragraph is gibberish--that all I can make of it...

",talk.politics.misc
"Could anyone direct me to the FTP site where I can find the DOS-based
morphing package called DMORF12.ZIP?  I had downloaded this file last week,
but the new DOS 6 crashed my hard drive and I lost it. Now I can't find the
site where I got it from.......

Also, are there any other morphing packages out for DOS (freeware or shareware)


Thanks in advance,
Barry

/---------------------------------------------------------------------------\
\___________________________________________________________________________/
-- ",comp.graphics
"
One should be aware that foreign doctors admitted for training
are ineligible to apply for resident alien status.  In order
to get the green card they have to return to their country and
apply at the embassy there.  Of course, many somehow get around
this problem.  Often it is by agreeing to practice in a town
with a need and then the congressman from that district tacks
a rider onto a bill saying ""Dr. X will be allowed to have permanent
residency in the US.""  A lot of bills in congress have such riders
attached to them.  Marrying a US citizen is the most common, although
now they are even cracking down on that and trying to tell US
citizens they must follow their spouse back to the Phillipines, or
whereever.



-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",sci.med
"
Why?  Do you expect him to remain the best shortstop in the game until
he reaches his seventy-third birthday, or something?  Why is it such a
strange concept that a forty-one-year-old Ozzie Smith might be a defensive
liability in 1996?",rec.sport.baseball
"
I was not discussing ""universal"" definitions in this post, Mark. Please
refrain from dragging in irrelevancies.

Do you agree with my statement above about physicians being unqualified if
they can't determine viability?


And that's good enough for the law, Mark. So why do you keep whining that
viability ""isn't defined""? What purpose does your whining serve?",talk.politics.misc
"
  CH> Concerning the proposed newsgroup split, I personally am not in
  CH> favor of doing this.  I learn an awful lot about all aspects of
  CH> graphics by reading this group, from code to hardware to
  CH> algorithms.  I just think making 5 different groups out of this
  CH> is a wate, and will only result in a few posts a week per group.
  CH> I kind of like the convenience of having one big forum for
  CH> discussing all aspects of graphics.  Anyone else feel this way?
  CH> Just curious.

I must agree.  There is a dizzying number of c.s.amiga.* newsgroups
already.  In addition, there are very few issues which fall cleanly
into one of these categories.

Also, it is readily observable that the current spectrum of amiga
groups is already plagued with mega-crossposting; thus the group-split
would not, in all likelihood, bring about a more structured
environment.
",comp.graphics
"} In article <1993Apr14.175545.3528@alleg.edu>, millits@yankee.org (Sam
} 
} i'm telling you, sam, three l's.  call up mom and ask.
} 
} bob vesterman.
} 
yeah, and in case even that isn't enough to prompt boy genius
""Sam"" to pick up a paper and see how ""his"" name is spelled,
here's another hint: the single ""L"" comes between the two ""I""s...",rec.sport.baseball
"
Who compared Quayle to Gore?  Mark said he had never heard of any incident
in which the thrower of the ceremonial ball had been booed before.  I mentioned
another incident.  (And if the media had a liberal bias, I'm sure he would
have heard of the Quayle incident.)

If I was to compare Quayle to anyone, it most likely would be Elmer Fudd.

",talk.politics.misc
"tes:


A friend of mine who smoke pot every day and last Tuesday took 5 hits of acid 
is still having trouble ""aiming"" for the bowl when he takes a dump.  Don't as 
me how, I just have seen the results.

Boy, I really wish we we cut the drug war and have more people screwed up in 
the head.



",talk.politics.misc
"Boy, hats off to any Cubs fan who can actually muster up the courage to put
down Braves fans.  I mean, all the Braves have done is gone to two consecutive
world series.  Also, being the Cubs fan that I am, I really have to hand it to
all the Braves fans out there that are capable of driving me crazy with that
infernal cheer that they have.  

However, I do have to protest anyone saying that all Cubs fans are stupid.  The
way I see it, either I'm just too stupid to acknowledge it, or that observation
was just plain wrong.  You might have us confused with Bear fans. ;)

Anyway, about a two weeks ago just about everyone was saying that the Cubs
would finish up last in their division.  (Even behind Florida?!?  Sheesh!)  
These same people were predicting the Braves to clean up in their respective
division.  Well,  we're ten games into the season and these people are a little
less vocal now.  I wonder why.

Well, the way I see it, the East is up for grabs, and whoever wants it most is
going to take it, with the exception of Florida.  Every team seems to have
good batting and pitching, with Philly presently leading the pack.  But, I just
have to point out, if the Cubs do take the East, they'll do it without the
benefit of a competent manager.  However, and it pains me to say it, the
pennant is going to go to the West.

Just had to get that off my chest.

						Doc",rec.sport.baseball
"Does anybody else think that WS stats should become part of
a player's career stats?   Why not?
 
",rec.sport.baseball
"
He's been playing horrible defense. Baylor said after Wednesday's game that
he wanted to shake up the lineup a little, because Bichette has been
having a rough time defensively and Jerald Clark has not been hitting.
He was true to his word; I went to Thursday's game and Gerald Young
was in right and Daryl Boston (who has a very hot bat) was in left.
Baylor was careful to say though that he didn't necessarily mean for
these changes to be permanent but he wanted to give these other two
a shot while Clark and Bichette were not playing well.

In defense of Bichette, it looks like right field in Mile High Stadium
is a bitch to play. Some of the visiting outfielders have been having
some problems too (although Bobby Bonilla made a great catch crashing into
the wall to rob Daryl Boston of an extra base hit in Thursday's game)",rec.sport.baseball
"
Yah.  So?


He certainly didn't earn his last one.  *HOW* many games did he blow
in the World Series?  All of the ones he started?


Oh, yes.  Definitely.  Therefore Morris is better than Clemens.

Don't give me that shit.  If Boston had Alomar, Olerud, Henke, and
Ward while Toronto had Rivera, Jack Clark, Jeff Reardon, things would
have looked a little different last fall.  Give credit where credit is
due.  This lavishing of praise on Morris makes me sick.


I'm willing to bet they don't finish sixth.  I'm also willing to bet
they don't finish first.  And if you give me 3-2 odds, I'm willing to
bet that they finish ahead of the Blue Jays.",rec.sport.baseball
"

Agreed.  We need more folks to admit they're bi.

-- 
Michael D. Adams	(starowl@a2i.rahul.net)	  Champaign, IL / southeast AL",talk.politics.misc
"
No, the neiseria meningococcus is one of the most common
forms of meningitis.  It's the one that sometimes sweeps
schools or boot camp.  It is contagious and kills by attacking
the covering of the brain, causing the blood vessels to thrombose
and the brain to swell up.

It is very treatable if caught in time.  There isn't much time,
however.  The rash is the tip off.  Infants are very susceptible
to dying from bacterial meningitis.  Any infant with a fever who
becomes stiff or lethargic needs to be rushed to a hospital where
a spinal tap will show if they have meningitis.  Seizures can also
occur.


It can live in the throat of carriers.  Don't worry, you won't get 
it from them, especially if they took the medication.

-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",sci.med
